Duration (in seconds),ResponseId,UserExp-AF,Request-AF,UserExp-PP,Request-PP,UserExp-AM,Request-AM,UserExp-AL,Request-AL,State,Law-Awareness,AttEnact-Disc,EnactExplain-Disc,ChangesExplain-Disc,AttEnact-Exp,EnactExplain-Exp,ChangesExplain-Exp,AttEnact-Req,EnactExplain-Req,ChangesExplain-Req,Age,Gender,Gender_5_TEXT,Ethnicity,Race,Race_6_TEXT,Education,Education_4_TEXT,PROLIFIC_PID,STUDY_ID,SESSION_ID,AppCategory,AppName
433,R_6zv8ZhW77xDGRS3,2,"2,3,5",2,"2,3,5",1,2,2,7,Indiana,,1,Apps should disclose when and how they share our data.,They may have to be less profit minded.,2,Consumers should have a say as to when and how their data is being used.,Having more options to opt out of data collection - similar to what consumers in the EU already enjoy.,1,Too often companies use data for their own purposes or even share with third parties. Consumers should have a say in anything that goes beyond a specific request by the consumer.,Give more options to opt out.,5,2,,2,1,,1,,609c6cc79875c8f0ba5d2242,6806e80aa09de22ad716aebf,6806e9a20d79248a0984de40,game,Roblox
280,R_7HhjEB6hprqu3UJ,2,"2,3,5,6,7",3,"4,5,6,7",3,"5,6",2,"2,4,5,6,7",Texas,5,3,It would allow the consumer to have more faith in the game developers,Probably some pop up box,2,It would allow the consumer to have more faith in the game developers,I have no idea.,2,It would allow the consumer to have more faith in the game developers,No change,3,1,,2,1,,2,,61762d78247d96d4b4b6c132,6806e80aa09de22ad716aebf,6806ea3ae58bea360cf0357d,game,Roblox
364,R_3CsdIm1kIoeCb2l,1,"4,5",2,"2,3",2,"2,5,6,7,8",1,"2,5,6,8",Idaho,5,2,It is good to explain what is going on.,Just make disclosures.,2,Most people are not aware of the extent on what is collected and that may be seen as mischievous. ,Maybe remove certain types of analytics. ,4,Should not be necessary.,none.,3,1,,2,1,,6,,66231fc6e1ecba676935943a,6806e80aa09de22ad716aebf,6806e9e7c2941a298ed9b4ef,finance,Venmo
324,R_3mgdcJu7W4AMBY9,2,"1,2,3,4,5,6,7,8",3,"5,6",3,"3,5,7",2,"1,2,3,4,5,6,7,8",nc,,2,i think they should have to be transparent,any language the app offers,2,they should be reasonable for consumers,i am not sure,2,they should cater to the consumer,i am not sure honestly.,3,2,,2,1,,6,,5c2d187569ceff00011417de,6806e80aa09de22ad716aebf,6806ea16bb9432a8990889c7,game,Roblox
293,R_3ptDVvlJOdC2K4S,1,"4,5,6",3,"3,5,8",2,"1,3",2,"2,4,6",CA,,2,it is good,none,3,not sure,None,3,I am not sure,not sure,2,1,,2,4,,2,,661fee35973b5ff6fa3418ef,6806e80aa09de22ad716aebf,6806ea3b123dae73cc2a9e6e,food and drink,DoorDash
358,R_5kZCa9chGbcDUB4,1,"1,2,3,4,5,6,7",2,"1,2,3,4,5,6,7",2,"1,2,3,4,5,6,7",1,"1,2,3,4,5,6,7",California,"5,32,47",1,This is ideal because it tells the consumer up front what is going to be collected. The user therefore agrees to it. The responsibility falls with the user to actually read it. ,They will have to add a confirmation screen that lists the reasons for collection and gives the user an option to agree.,3,"I'm 50/50 on this one. ""Reasonable expectation"" is such a vague term and will mean different things to different people. ","They would first need to set guidelines for what ""reasonable expectation"" entails, then add code to limit collecting personal data beyond that.",1,This makes sense too because it allows the users to set the expectations. ,The app would have to check in with the user more often to get their feedback on what's being collected,4,1,,2,1,,2,,668ddcae66b7fcec2f492fd0,6806e80aa09de22ad716aebf,6806e9f199083c1c63413953,game,Roblox
276,R_5hDOdvSRV2ovzMo,3,"1,2,3,6",2,"2,7",2,"1,2,3,5,6",2,"2,5,6",Arizona ,,3,Neutral ,Still collecting less data,2,I agree with it,Collecting less data,3,I'm indifferent ,Collecting less data,4,2,,2,1,,5,,668350648b8a9f7ca3785ec3,6806e80aa09de22ad716aebf,6806ea4c2a14125362825d50,finance,Venmo
290,R_3SGioVRDC26RcsT,1,"1,2,3,4,5,6,7,8",4,8,2,"5,6,7",1,"1,2,3,4,5,6,7,8",Alaska,,1,less data collection,less data collection,1,less data collection,less data collection,3,No opinion on this,not sure,4,1,,2,1,,6,,643ead9be9be7fa2c20e1a53,6806e80aa09de22ad716aebf,6806ea38660e6db710d12fd6,food and drink,DoorDash
293,R_7v1fKCvqhFxy5HG,1,5,1,"1,2,5",2,5,2,"5,6",Wisconsin,,4,I think companies need this to make money. They need it for marketing and selling us more product. It's what helps drive business. ,They will have to find other ways to advertise to us without using our data. ,2,I think if the terms are easy to understand and thr consumer isn't tricked it's fair. ,I am unsure. ,4,They need this to keep giving us the things we want to see. I like getting suggestions. ,They will have to find other ways to get around not showing us what we want. ,3,2,,2,1,,6,,663a5cc1f775076b324606c6,6806e80aa09de22ad716aebf,6806ea3c5b25a05f56d68ad2,shopping,Walmart
370,R_6AO17pG2XpTflzH,2,"1,2,3,4,5",4,"6,7,8",5,"6,7,8",5,"6,7,8",Illinois,,1,I think it is wrong for these companies to profit off of their data collecting,none,4,We shouldn't have to assume or expect theyre collecting data on us and using it in a way that benefits them,none,1,I think all data collecting from a company should be with permission only,none,4,1,,2,1,,5,,67edf0b51b5bd671db6a9372,6806e80aa09de22ad716aebf,6806e9f4e58bea360cf03577,food and drink,DoorDash
329,R_3L8dAgVVurkpefo,1,"1,2,3,4,5,6,7",1,"1,2,3,4,5,6,7",1,"2,3,5,6,7",2,"2,5,6,7",Indiana,,1,Privacy is important,Whatever changes are required by law.,1,Common sense privacy,Opt in to collect data,3,I'm not sure what this means,I'm not sure,2,1,,2,1,,6,,675c611268e0e1825a5fe25d,6806e80aa09de22ad716aebf,6806ea2a45f6e261dddc5535,shopping,Walmart
319,R_7TBsNzOBOPTWYlv,2,"5,6,7,8",2,"1,2,3,4,5,6,7,8",2,"5,6,7,8",2,"1,2,3,4,5,6,7,8",Michigan ,,2,I think any use of data should be disclosed ,,1,It makes sense ,,2,I think data usage should be limited to the purpose for which it was given ,,4,2,,2,1,,2,,674522817a49cb1c784dd2e3,6806e80aa09de22ad716aebf,6806ea33c031e3b257964665,finance,Venmo
485,R_5ilHsc1HB3exAXW,1,"1,2,3,4,5,6,7",1,"2,3,6,7",2,"2,3,5,6,7",1,"1,2,3,4,5,6,7,8",Pennsylvania ,"5,13,32,45,47",1,Only necessary data should be able to be sold.,Stop asking for irrelevant details.,1,This is the same question as the last two questions.,Is it the same question as the last two questions,1,My data should be kept safe ,Making data safer and less selling of personal data.,5,1,,2,1,,2,,646c323d73a3844a4331e09b,6806e80aa09de22ad716aebf,6806e998dffb0ed5c541dd47,finance,Venmo
231,R_1VFAknqn3eRnXDr,3,"2,5",1,"3,5",1,"2,6",2,"1,4",Texas,43,2,N/A,N/A,3,N/A,N/A,2,N/A,N/A,1,2,,2,2,,2,,67d8b7fa2cc04185f7d10c26,6806e80aa09de22ad716aebf,6806ea90a09de22ad716aee4,game,Roblox
318,R_3jbgoNZdx2apH6p,2,"5,6,7",2,"6,7",4,"6,7",2,"5,6,7",Tennessee,"5,32",1,Data should be minimized as much as possible.,Keep data minimized.,4,It should be expressly stated. The company's opinion on what a consumer reasonably expects is not appropriate.,"Down with big data, down with AI.",1,"People should not have their data harvested or sold without their permission. In some instances, it should generally be illegal.",They will need to find other ways to monetize their product without scraping user data.,3,1,,2,1,,5,,65f8f7603eed885831f2a14f,6806e80aa09de22ad716aebf,6806ea482351891690be83a0,shopping,Walmart
440,R_6PbHjyg20r5PyPP,4,"3,5",4,"1,4",2,"4,5,6",2,"4,6",North Carolina,"5,6,9,46",2,"Disclosing the purpose provides transparency, which is a positive step for user control.", Enhanced Transparency and Communication.,1,It aligns with user privacy and responsible data handling practices.,Data collection practices,1,Focusing data collection on fulfilling user-requested services strongly protects user privacy and limits potential misuse.,Service-Centric Data Justification.,2,1,,2,1,,2,,67ad0fc2981df85a8b4f41e2,6806e80aa09de22ad716aebf,6806e989f149be8e9f87145c,photo and video,YouTube
468,R_62LkIxmk4bpNZgz,2,"2,3",2,"2,3,5,6,7",2,"2,3,4,5,6,7",2,"6,7",ohio,,1,They should only be able to gather whatever they disclose so that we have a choice to use the app or not.,Have solid disclosures that are easy to read.,2,I think that too much of our information is currently gathered and I believe it should be minmized.,Relying less on personal data.,2,"I want minimal personal data collected when I am online, even if I have to work harder to find the information that I need.",Learn to rely less on peoples personal data.,4,2,,2,1,,1,,657b8d0f70532c79db2ebe95,6806e80aa09de22ad716aebf,6806e9c2bd7c31afb0c7a733,finance,Venmo
389,R_7DbD9xtrzHrmZBn,2,"1,4,5,6,7",1,"1,2,3,4,5,6,7,8",1,"2,3,4,6,7",2,"1,2,3,4,5,6,7", California,5,1,App developers should be honest with what data they are collecting and properly disclose it to them.,App developers should be up front and honest and disclose what data they are collecting.,1,I believe companies should comply with data regulations and laws.,I think app developers should properly disclose to consumers on what data is being collected and how it is being collected.,1,Data collection should be appropriate and proportionate to why it is being collected.,App developers should only collect data that is essential and be honest with consumers.,2,1,,2,1,,6,,67414dcbcf89f6a633385d49,6806e80aa09de22ad716aebf,6806ea14ad671896cd2a7605,finance,Venmo
456,R_6tUHF2PCVWefBrb,4,"6,7",3,"2,3,7",1,"2,3,6",1,"1,2,3,4,6,7",Illinois,5,1,see previous answer,see previous answer,1,same as my first answer.,same as my first answer.,1,i'm not sure how it would be enforced but i agree something needs to be done about companies taking all of our data.,"impartial, unaffiliated parties should audit companies monthly.",2,2,,2,2,,2,,5d27e4e24ea8d100170b3c61,6806e80aa09de22ad716aebf,6806e9dd97315e506b884293,game,Roblox
478,R_3F6qOKXPDfmbHTH,2,"5,7",2,"4,6",1,"6,7",2,"6,7",California,"5,23",1,This ensures that customers data and privacy is limited and secure.,Allow customers to only allow data collection to trusted users of the data only,2,To protect data of the customers,Ensuring that they develop apps that do not collect alot of data from the customers,1,to ensure that the apps collects limited data from the customers,Limit the data that is collected from the customers,4,1,,2,1,,2,,67ec037f1ee4df4a90f72b45,6806e80aa09de22ad716aebf,6806e9bcdc57c26c5ea314a0,shopping,Walmart
323,R_55z5nbQ4mWwdX38,4,7,3,7,5,7,4,7,Minnesota,,1,I definitely think we need any and all protections we can get. ,They will have to justify their use of the data they collect. ,1,I think they should be enacted because no one wants all of their data stollen. ,They will have to get consent instead of just taking it....what a thought. ,1,I don't think any information is really needed by these companies except what we decide to give them. ,They might have to have everyone opt in instead of just stealing their data. ,3,2,,2,1,,6,,663ae3f35b81791c40865be5,6806e80aa09de22ad716aebf,6806ea6b65d00dc74a60b483,food and drink,DoorDash
454,R_7ExN8arJWXI7Imo,1,"2,3,5,6,7",1,"2,3,6,7",1,"1,2,3,4,5,6,7",1,"1,2,3,4,5,6,7",Illinois,,1,I should be able to allow the company and data collectors only information that is relevant to my immediate use of the app. Such as specific purchases without regard for future preferences. These are choices I am very aware of and don't need reminding of.,To stop mining and selling date and making it clear to the user that they can opt out of data collection or that it is illegal to do so.,1,"I expect to be able to use the app to purchase things for my immediate need and that any future purchases be left to my own knowledge and willingness to buy it without prompt. If I don't think of it, I probably don't need it that bad.",They will need to give an option before installing the app to swear to not use your information beyond this immediate usage.,1,"Yes, as I have mentioned before. Limit the data collection to the immediate task or service I'm requesting to be completed and my history to be deleted immediately.",I'm not a software engineer but I would expect them to have limited flow of information or limited amounts of data collected by the app and saved in any sort of history database.,5,1,,2,4,,1,,6528037f85230503e406a076,6806e80aa09de22ad716aebf,6806e9f61891e77bbc9e407c,shopping,Walmart
289,R_7DMQGhDl2Rb4QjT,1,"5,6,8",1,"1,2,3,4,5",1,"5,7",1,5,Illinois,"5,13,32",1,Consumers/users need additional protections and I feel this would help,"They should not have to make too many, simply turn off the collection services",1,"More protection for users/consumers, analogous to what is in place in the financial services industry",It will not be a major effort to update the code to comply with a regulation like this,1,"Consumers should only be expected to share the minimum amount of information, not the maximum",It should not be a large dev effort to reduce the amount of data gathered.  But it will hurt their metrics and revenue so the companies will not be happy if they have to do this,3,1,,2,1,,1,,63ed1b44dc847ac2c0e41f82,6806e80aa09de22ad716aebf,6806ea9ac3fe3b0e4904a533,game,Roblox
551,R_6EPSpU7eSxY2lbl,3,"3,4,5,6,7",1,"2,3,4,5,6,7",2,"5,6,7",2,"3,4,5,6,7",Ohio,,1,I think the customer should always know what there data is being used for and have the right to accept or deny that. ,"They would have to make it very clear on every app, that you accept to the regulation. ",1,"Customers personal data is very important to many people, and this explanation of what they can not do would have a positive result.",I think the app developers would have to be even more clear with accepting or declining how anyone's data is used. ,2,"I believe that the product being offered, even if it's similar to what the product being searched, should have some regulation.",The app developers would have to have a more easily readable prompt to agree with.,2,1,,2,1,,5,,66b3dc1490445aa410abd41e,6806e80aa09de22ad716aebf,6806e9a275640ac8bd3fbed6,shopping,Walmart
327,R_1LcYGrymV29oD2X,1,"2,3,4,5,6,7,8",1,"2,3,4,5,6,7,8",1,"2,3,4,5,6,7,8",1,"3,4,5,6,7,8",Florida,,1,"It makes sense, this isnt a blank check with our information, it should be the minimum needed",when the apps collect and transmit information,1,"reasonable is the key word, a reasonable amount of data for the app to function",change how and when data is collected,1,"It seems like a good idea, just like the other ones",they will have to limit data collected,4,1,,2,1,,5,,5bf3150128e0b90001cabeaa,6806e80aa09de22ad716aebf,6806ea81e32fb14ffbc29808,food and drink,DoorDash
320,R_7ICJ26QdwMuWY0h,2,"5,6,7,8",1,"6,7,8",1,"6,7,8",1,"6,7,8",Ohio,5,1,"There's no reason for so many apps to need our ""data"".","None, they'll just bribe their way out of it as usual.",1,Consumers need more protection.,"None, because again they never do.",1,People need more data protection.,None.,3,5,Trans-man,2,2,,5,,60442cee4664dd4aa31a9f34,6806e80aa09de22ad716aebf,6806ea90db3ee6c2e9f180a8,food and drink,DoorDash
416,R_3hBc6xZigOsuF5b,2,"2,4,5,6",1,"1,2,3,5",2,"1,2,3,4,5,6,8",2,"1,3,4,5,6",New Jersey,"7,18,29,35,43",2,They need to inform the consumer,Very limited data should be collected,2,They should not be able to do what they want with your data,Limited data and no data if app is not used,1,I don't think there should be anything done without the consent of the person,Just the limited data needed for the app and nothing more,5,2,,2,1,,3,,66717200063fc2eb3987270a,6806e80aa09de22ad716aebf,6806ea2f7e4df2b2a6a5577c,finance,Venmo
695,R_3tSSPfn9Gjy7U8V,2,4,2,"1,2,3,4,5",1,"2,3,5,7",1,"1,2,3,5",Georgia,5,3,The purpose may vary and the message is vague. It would enable loopholes for the company to misuse the data. ,The company need to clarify what they mean by necessary and proportionate. They certainly need to clarify how they use the data. ,4,Consumers expectation can differ from one person to the other. I think the interpretation is too broad and need to be more specific. ,They need to know what are the expectations and create a standard the data collection. ,1,The customers would be aware of the amount and type of data collected by the company. ,Allow the customers to choose which data is collected and information about how the company is going to use the data.,3,2,,2,4,,2,,5b16e1a5457ace0001b40d46,6806e80aa09de22ad716aebf,6806e916b08934aa0c4f5f32,game,Roblox
413,R_6Jd1eLD4mlPCdDb,2,4,2,3,3,4,2,3,united states,47,2,I answered as per instructions guidelines.,No change he should change.,2,Answered as per instructions guidelines.,no change,2,Answered as per instructions guidelines.,no,4,2,,2,1,,1,,67f29c95356ff3812471554a,6806e80aa09de22ad716aebf,6806ea2e275351744262a5ce,game,Roblox
399,R_68SvYM9KodGBNiq,2,5,4,5,4,5,3,5,Tennessee,,2,"I think as long as the customer is aware and agrees, all is fair for the company to collect.",App developers would have to be more open about what they are collecting and why.,2,It should not be shock if an app is using your location while using the app. That is pretty reasonable.,I'm not sure much would change.,3,I really need more information to make an educated opinion.,It would be difficult because they'd have to pick and choose what data would be most beneficial to collect.,2,2,,1,1,,2,,65d6367a6fa9e61dfa165acf,6806e80aa09de22ad716aebf,6806ea3dba78501eccc2b6af,finance,Venmo
424,R_61WXoalUQrti6Uv,1,"2,3,4,6",2,8,3,"3,4,5,6,7,8",3,"1,2,5,6,7,8",Colorado,,1,Consumers should be aware of what their data is being used for and why.,App developers will have to be more transparent.,2,I think it's better for consumers to have less of their data out there.,I think a lot of them will have to stop selling data to third parties. ,1,"Obviously, apps will likely need to collect some amount of data, especially when you sign into an account. However, there are a lot of things that the average app does not need to access at all, such as gender, age, and other identifying information.",I think app developers will need to ask less information from their consumers up front.,2,2,,2,1,,5,,5bd7cde93dac81000124bb7b,6806e80aa09de22ad716aebf,6806ea2ef6b8a815f39d1b16,shopping,Walmart
470,R_3QGyhukLJ2KFq7a,3,"2,4,5,7",2,"1,3,4",2,7,2,"3,6,7",USA,10,3,N/A,N/A,3,N/A,N/A,3,N/A,N/A,1,2,,2,1,,2,,6725584ef1ac5065c5983a82,6806e80aa09de22ad716aebf,6806e9f2f9b4aa25f9ad828a,photo and video,YouTube
358,R_1h9IAXo0apDXyUz,5,8,2,6,1,6,1,6,CA,,4,I do not believe in a company's honesty in their own disclosure,I am not sure,1,I think the other options leave too much room to company discretion.,There would be less data collection,4,I think companies would say that unrelated data being collected would actually be for the product or service,I think they would shift terms so they could collect more under this regulation,2,1,,2,1,,5,,59e996863e4b5a00016aa699,6806e80aa09de22ad716aebf,6806ea6d2d8ce39b5fb45bdc,photo and video,YouTube
444,R_36YWKuQW5yM9tTj,2,"2,3",2,"3,5",2,"1,2",2,5,North Carolina ,47,1,To ensure more privacy.,Rewrite terms and agreements. ,1,Better privacy.,None,1,This would ensure more privacy and protection. Their terms and agreements for using the apps.,None. If they comply with the new rules.,4,2,,2,2,,2,,660462c2b2d0100f5f2e71d3,6806e80aa09de22ad716aebf,6806ea2f6390e56ed9a0ffac,photo and video,YouTube
509,R_3rj9IWqsPTgO397,2,2,2,"1,3,4,5,6",2,"1,5,6,7",4,"1,2,3,4",NC,33,2,I think it would be ok to be able to do this as long as they disclose what they are collecting.,"nothing, it is fine as long as they disclose everything they collect",2,I’m fine with it as long as they tell you what it is collecting and why,"notning, it is good",1,I Don’t think they should data mine anything,i Think they should ask for feedback and not data mine. Your stuff,3,1,,2,1,,6,,66fc39329c32ceedaea614b0,6806e80aa09de22ad716aebf,6806e9f49fbf8028b33eda91,food and drink,DoorDash
423,R_6PhRjlHQhB1AcoE,2,"2,3,4,5",1,"1,2,3,4",1,"1,2,3,4,5",2,"6,7,8",new jersey,"3,4,29,30,35",2,POSITIVE IDEA,NOTHING,2,I BELIEVE IS A GOOD IDEA,I CAN NOT THINK OF ANY AT THE MOMENT,2,POSITIVE IDEA,NOTHING I CAN THINK OF,3,1,,2,1,,1,,67c59931c09a2f946393dae5,6806e80aa09de22ad716aebf,6806ea4c835d72ba2bc2435a,finance,Venmo
333,R_1lsEDIlaHpEUq08,2,"1,2,3,4,5,6,7",2,"2,5,6,7",2,"5,6,7",2,"2,5,6,7",Ohio,5,2,"This is better than the last, as it requires a defined standard.",What IS the standard? Can I opt out?,4,I think it is too vague.  What's the standard? How is it decided? Can it be contested?,Would there have to be some note of what the standard is?,3,I would need to know how the collected data was NECESSARY to the function of the service.,None,4,1,,2,1,,1,,67e556d552b4fcdc1ef828e4,6806e80aa09de22ad716aebf,6806eaaaec4566977caccb86,food and drink,DoorDash
457,R_7XpVqiAEWCOggi6,1,"1,2,3,4,5,6,7,8",1,"4,5,6,7,8",4,"6,7,8",2,"6,7,8",California,,1,If data is being collected I want to know exactly how it is being used so I can decide whether or not to keep using the app.,They'll have to tell us what the data is being used for.,5,The wording is very vague and can be exploited,Nothing.  They can just assume it's reasonable to expect that data collection.,2,They don't need to know any more information than what is specified,I'm sure they will have to stop gathering quite a bit of data.,3,1,,1,1,,2,,62cd43d66c2dd7ae9ab53ae7,6806e80aa09de22ad716aebf,6806ea3206888060ecfd304c,food and drink,DoorDash
500,R_6FLGUnamY3AFLkw,2,"3,5,6,7",2,"3,5,6,7",2,"2,3,5,6,7",3,"3,5,6,7",CO,,2,"As long as they are disclosing it initially, I don't see why not. ",Maybe less data collection. ,2,It would have to be something that consumers for expect and not be concerned about. ,More minimization of relevant data collected.,2,"If the data collected is only relevant to the specific product or service requested, I don't see much of an issue with this. ",Minimize data being collected and cut out the things that are not relevant.,2,2,,2,1,,5,,634ef87aec0966557c825573,6806e80aa09de22ad716aebf,6806ea041a469dfba4f276f5,photo and video,YouTube
