Duration (in seconds),RecordedDate,App-Func,Product-Pers,Adv-Marketing,Analytics,Att-Enact,Att-Enact-Explain,Changes-Explain,State,Law-Awareness,Age,Gender,Gender_5_TEXT,Ethnicity,Race,Race_6_TEXT,Education,Education_4_TEXT,PROLIFIC_PID,STUDY_ID,SESSION_ID,Condition,Law,AppCategory,AppName
181,4/18/25 9:17,,,"User ID,Name,Gameplay Content,Information about how the user Interacts with the App,Information about the Advertisements the user has seen",,Agree,I do not want others that I have not given to receive my information,"Not exactly sure, maybe more secure information.",New York,,25-34,Woman,,No,White,,Some college but no degree,,677c133f0ad781c302898624,67fecb3ede31a76593440504,68027a43c880d2f342743dab,Procedural,to a purpose they disclose to the consumer.,finance,Venmo
227,4/18/25 9:17,"Information that uniquely Identifies your Device,In-App Search History,Information about how the user Interacts with the App,Crash Data","Information that uniquely Identifies your Device,Coarse Location,Payment Info,Purchase History,In-App Search History,Crash Data,Information about how the App is Performing","Information that uniquely Identifies your Device,Coarse Location,Payment Info,Purchase History,In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing","Information that uniquely Identifies your Device,Information about how the user Interacts with the App,Information about the Advertisements the user has seen",Agree,I think it is reasonable that they get this information for the app to perform as well as it should ,I think making is anonymous would help but usually it already is,MT,,25-34,Man,,No,White,,Some college but no degree,,65f908e8f201b532e6cebc0f,67fecb3ede31a76593440504,68027a3ca5151a473909f815,Substantive,to provide or maintain a specific product or service requested by the consumer.,shopping,Walmart
298,4/18/25 9:17,"User ID,Information that uniquely Identifies your Device,Payment Info,Purchase History,In-App Search History,Gameplay Content,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing","User ID,Information that uniquely Identifies your Device,Coarse Location,Purchase History,Gameplay Content,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing","Purchase History,In-App Search History,Gameplay Content,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing","User ID,Crash Data,Information about how the App is Performing",Neutral,Many details to be considered. There are many pros/cons that must be weighed.,Depends on the regime under which the app is operating.,Louisiana,California,45-59,Man,,No,White,,Some college but no degree,,675849848f0cf4eebe7cbfc7,67fecb3ede31a76593440504,680279f65e268876141ae0d4,Procedural,to a purpose they disclose to the consumer.,game,Roblox
338,4/18/25 9:17,"Information that uniquely Identifies your Device,Information about how the user Interacts with the App,Information about how the App is Performing","Information that uniquely Identifies your Device,Purchase History,In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","Coarse Location,Purchase History,In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","Information that uniquely Identifies your Device,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing",Strongly Agree,It would be helpful to prevent companies gathering unnecessary data without a good reason for it.,Being forthcoming about what they collect and the reasons for it. Maybe extra development to have to limit what they collect to the different reasons they're collecting it and not just taking it all because it is easier.,Pennsylvania,California,25-34,Man,,No,White,,"High school degree or equivalent (e.g., GED)",,63bc819194ca25a555eb8fb5,67fecb3ede31a76593440504,680279c883d966121513c317,Procedural,to a purpose they disclose to the consumer.,shopping,Walmart
238,4/18/25 9:17,"User ID,Name,Email Address,Coarse Location,Purchase History,In-App Search History,Customer Support,Emails or Text Messages","User ID,Coarse Location,Purchase History,In-App Search History,Web Browsing History","User ID,Coarse Location,Web Browsing History","User ID,Coarse Location,Purchase History,In-App Search History,Emails or Text Messages,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing",Strongly Agree,"Companies are collecting too much personal information about us. Every time I search, make a purchase, or even verbalize a possible purchase, I see it on my computer for days. ",Stop placing tracking cookies and following people around the internet.,Minnesota,,45-59,Woman,,No,White,,Associates or technical degree,,65031f68de6e940396216f8a,67fecb3ede31a76593440504,68027a381aa8e60e04524896,Substantive,to provide or maintain a specific product or service requested by the consumer.,photo and video,YouTube
225,4/18/25 9:17,"Phone Number,Gameplay Content,Customer Support,Crash Data","Coarse Location,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing","In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing","Phone Number,Gameplay Content,Customer Support",Agree,I feel like companies should not have access to all of our data. We should be able to pick and choose what types they’re able to receive on certain applications.,let users choose which types of data they want to share and for which apps,Texas,,18-24,Man,,Yes,White,,Associates or technical degree,,666f9b23519a8d810a4c5b8a,67fecb3ede31a76593440504,68027a42cd0a07b634f01b8b,Substantive,to provide or maintain a specific product or service requested by the consumer.,finance,Venmo
224,4/18/25 9:17,"In-App Search History,Gameplay Content,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing","In-App Search History,Gameplay Content,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing","In-App Search History,Gameplay Content,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing","In-App Search History,Gameplay Content,Information about the Advertisements the user has seen,Information about how the App is Performing",Agree,I think that when you go on a website or app it shouldn't steal all your information ,The user should always decide what they want to share,Il,California,35-44,Woman,,Yes,Other,,"High school degree or equivalent (e.g., GED)",,60fe3a34f7f4d5e48ad56af2,67fecb3ede31a76593440504,68027a46ac35313d3ca6aa95,Substantive,to provide or maintain a specific product or service requested by the consumer.,game,Roblox
226,4/18/25 9:18,"User ID,Email Address,Gameplay Content,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing","User ID,Email Address,Purchase History,In-App Search History,Gameplay Content,Customer Support,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing","User ID,Gameplay Content,Customer Support,Emails or Text Messages,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing","User ID,Email Address,Gameplay Content,Customer Support,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing",Agree,Apps shouldn't have access to everything.,A lot. It depends on the app.,Michigan,"Florida,Iowa,Texas",35-44,Woman,,No,Black or African American,,"High school degree or equivalent (e.g., GED)",,5e39068e0e532411b2adaa7b,67fecb3ede31a76593440504,68027a5a2b04f4094c0db8f4,Procedural,to a purpose they disclose to the consumer.,game,Roblox
190,4/18/25 9:18,"Information about how the user Interacts with the App,Information about how the App is Performing","Purchase History,In-App Search History,Web Browsing History","User ID,Name,Physical Address,Coarse Location,Purchase History,In-App Search History,Web Browsing History,Information about how the App is Performing,Sensitive Demographic and Biometric Information","User ID,Name,Email Address,Physical Address,Payment Info,Web Browsing History,Customer Support,Emails or Text Messages,Information about how the user Interacts with the App,Information about the Advertisements the user has seen",Agree,I feel that collecting too much personal data violates a users agency and freedom,,South Carolina,,25-34,Woman,,No,White,,Bachelor's degree,,5de8734b44b3127e513ae247,67fecb3ede31a76593440504,68027a83c46810f66f2708a3,California,to a purpose that consumers would reasonably expect.,food and drink,DoorDash
245,4/18/25 9:18,"Name,Email Address,Physical Address,Phone Number",Purchase History,Information about the Advertisements the user has seen,,Strongly Agree,The amount of data currently collected about individuals is more than necessary. ,They will have to change the app's back end so that it does not collect as much information as it had been. ,Alabama,,45-59,Woman,,No,White,,Bachelor's degree,,66e4ef42a321cf28dda09db2,67fecb3ede31a76593440504,68027a59a80ed8c405ca9e4c,Substantive,to provide or maintain a specific product or service requested by the consumer.,food and drink,DoorDash
406,4/18/25 9:18,"User ID,Audio Data,Gameplay Content,Customer Support","Gameplay Content,Information about how the user Interacts with the App,Information about how the App is Performing",,Crash Data,Strongly Agree,personal data shouldn't be kept,change storing personal data,Oklahoma,Oklahoma,25-34,Man,,No,White,,"High school degree or equivalent (e.g., GED)",,5d8a29c082fec30001d9c24a,67fecb3ede31a76593440504,680279bf46f001f1bb7923c7,Procedural,to a purpose they disclose to the consumer.,game,Roblox
385,4/18/25 9:18,"Name,Physical Address,Phone Number,Precise Location,Payment Info,Customer Support","In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","Purchase History,In-App Search History,Information about the Advertisements the user has seen","Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing",Agree,There is no reason for companies to have more info than is necessary ,Limit certain access abilities ,Illinois,,60-74,Woman,,No,White,,Some college but no degree,,67d4ab2b6bcf2affcb4d66ec,67fecb3ede31a76593440504,680279d69d858031bb63c861,Substantive,to provide or maintain a specific product or service requested by the consumer.,food and drink,DoorDash
280,4/18/25 9:18,"Audio Data,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing",Information about the Advertisements the user has seen,Information about the Advertisements the user has seen,"Audio Data,Crash Data,Information about how the App is Performing",Strongly Agree,Companies have become to comfortable collecting everything they can on a user and this needs to change.,They will have to change the amount of data they collect on each individual and how they store it.,California,,25-34,Woman,,No,White,,Bachelor's degree,,5ecb0bb39b4189656f60872b,67fecb3ede31a76593440504,68027a466890500e7c78a131,California,to a purpose that consumers would reasonably expect.,photo and video,YouTube
280,4/18/25 9:18,Crash Data,"User ID,Name,Email Address,Purchase History,In-App Search History,Customer Support","In-App Search History,Web Browsing History","Purchase History,In-App Search History,Web Browsing History",Agree,I feel that the data should be protected and not sold to other parties,I feel that they would have to implement something that makes it safe for users ,michigan,Michigan,35-44,Woman,,No,White,,Associates or technical degree,,663a5c64393c1e7e094eba22,67fecb3ede31a76593440504,68027a4450035c567f30bab3,Procedural,to a purpose they disclose to the consumer.,shopping,Walmart
214,4/18/25 9:18,"Information about how the user Interacts with the App,Information about how the App is Performing",,Information about the Advertisements the user has seen,"Information about how the user Interacts with the App,Information about how the App is Performing",Strongly Agree,I think companies shouldn't have the right to obtain and use my personal information.,Stop harvesting their users' data.,Ohio,Ohio,45-59,Woman,,No,White,,"High school degree or equivalent (e.g., GED)",,66293a97afaf09c613477f83,67fecb3ede31a76593440504,68027a6eb669491e54ca04a8,California,to a purpose that consumers would reasonably expect.,photo and video,YouTube
207,4/18/25 9:18,"Coarse Location,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing","Coarse Location,Precise Location,Purchase History,In-App Search History,Customer Support,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Sensitive Demographic and Biometric Information","Coarse Location,Purchase History,In-App Search History,Customer Support,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing","Coarse Location,In-App Search History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing,Sensitive Demographic and Biometric Information",Strongly Agree,companies have been reckless with consumer data,"ask for opt in
collect less info",Alabama,"California,Illinois",35-44,Woman,,No,White,,Bachelor's degree,,5654ddab04212700104a1e15,67fecb3ede31a76593440504,68027a927eeffb61e4b92043,Procedural,to a purpose they disclose to the consumer.,photo and video,YouTube
324,4/18/25 9:19,"User ID,Name,Email Address,Phone Number,Payment Info,Purchase History,In-App Search History,Customer Support,Crash Data,Information about how the App is Performing","User ID,Coarse Location,Payment Info,Purchase History,In-App Search History,Web Browsing History,Customer Support,Crash Data,Information about how the App is Performing","Coarse Location,Payment Info,Purchase History,In-App Search History,Web Browsing History,Gameplay Content,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing","Information that uniquely Identifies your Device,In-App Search History,Web Browsing History,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing",Agree,I'm in favor of limiting what data can be collected so companies can't see my political views and discriminate against me. ,They won't be able to see people's private photos or text messages anymore.,California,Michigan,45-59,Man,,Yes,White,,"High school degree or equivalent (e.g., GED)",,650e75a7fc16660ec5fca2c6,67fecb3ede31a76593440504,68027a25fc5dfa061ae68249,California,to a purpose that consumers would reasonably expect.,food and drink,DoorDash
223,4/18/25 9:19,Information about how the App is Performing,Information about how the user Interacts with the App,Gameplay Content,,Strongly Agree,I just don’t find it necessary to collect so much information for a game. ,They’d have to remove a lot of things in the games that keep track of personal information. ,California,,18-24,Woman,,Yes,Other,Hispanic,"High school degree or equivalent (e.g., GED)",,66ceb2c1386d481586b66854,67fecb3ede31a76593440504,68027a895912b1136dc1a82f,Substantive,to provide or maintain a specific product or service requested by the consumer.,game,Roblox
295,4/18/25 9:19,"User ID,Email Address,Coarse Location,Purchase History","In-App Search History,Gameplay Content,Information about how the user Interacts with the App","In-App Search History,Information about the Advertisements the user has seen","Customer Support,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing",Strongly Agree,I hate when apps get installed on my phone and my phone has a never ending list of things it wants access too that it has no need to,"Absolutely none, since they all do it and make more money off of the targeted ads",MT,,25-34,Man,,No,White,,Some college but no degree,,572d05c688902e00091e4a2c,67fecb3ede31a76593440504,68027a45d0f30cb2dc47330a,Substantive,to provide or maintain a specific product or service requested by the consumer.,game,Roblox
238,4/18/25 9:19,"User ID,Gameplay Content,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing","Name,Email Address,In-App Search History,Web Browsing History,Gameplay Content,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","Name,Email Address,Phone Number,Purchase History,In-App Search History,Information about the Advertisements the user has seen","Name,Purchase History,In-App Search History,Web Browsing History,Gameplay Content,Information about how the user Interacts with the App,Information about the Advertisements the user has seen",Agree,It would protect privacy better,They would have to collect less data,New York,New York,45-59,Man,,No,White,,Bachelor's degree,,63fb4b7f05faed13656528f0,67fecb3ede31a76593440504,68027a64b59aeefe5a085ca3,Substantive,to provide or maintain a specific product or service requested by the consumer.,shopping,Walmart
294,4/18/25 9:19,"User ID,Information that uniquely Identifies your Device,Gameplay Content,Customer Support,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing","User ID,Coarse Location,Gameplay Content,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","User ID,Information that uniquely Identifies your Device,Coarse Location,Payment Info,Purchase History,In-App Search History,Web Browsing History,Gameplay Content,Information about how the user Interacts with the App,Information about the Advertisements the user has seen","User ID,Coarse Location,Purchase History,In-App Search History,Gameplay Content,Customer Support,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing",Strongly Agree,"Especially if it targets children, there needs to be clear limitation on what information is collected","Follow legal and ethical guidelines, particularly as they relate to minors",Virginia,,25-34,Man,,No,"White,Black or African American",,"Graduate or professional degree (e.g., Masters, PhD, M.D, MBA)",,6782fb88cf758d7aa077f2cf,67fecb3ede31a76593440504,68027a5205fb94044423c4c9,Procedural,to a purpose they disclose to the consumer.,game,Roblox
292,4/18/25 9:19,"Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing","In-App Search History,Crash Data,Information about how the App is Performing","In-App Search History,Web Browsing History,Photos or Videos,Audio Data,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing","User ID,Name,Email Address,Coarse Location,Customer Support,Emails or Text Messages",Neutral,I do not like the personal sharing of data ,They can change the data provide and requested ,Mississippi,"Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming",25-34,Man,,No,Black or African American,,Bachelor's degree,,6781c04bb4d02ad68a57e4ae,67fecb3ede31a76593440504,68027a55358a383e7618fc6e,Substantive,to provide or maintain a specific product or service requested by the consumer.,photo and video,YouTube
419,4/18/25 9:19,"Email Address,Physical Address,Phone Number,Photos or Videos,Emails or Text Messages,Information about the Advertisements the user has seen","User ID,Information that uniquely Identifies your Device,Name,Email Address,Physical Address,Phone Number,Coarse Location,Precise Location,Contacts,Payment Info,Credit Score,Purchase History,In-App Search History,Web Browsing History,Photos or Videos,Audio Data,Gameplay Content,Customer Support,Emails or Text Messages,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing,Health,Fitness","User ID,Information that uniquely Identifies your Device,Name,Email Address,Physical Address,Phone Number,Coarse Location,Precise Location,Contacts,Payment Info,Credit Score,Purchase History,In-App Search History,Web Browsing History,Photos or Videos,Audio Data,Gameplay Content,Customer Support,Emails or Text Messages,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Crash Data,Information about how the App is Performing,Health,Fitness,Sensitive Demographic and Biometric Information","Information that uniquely Identifies your Device,Name,Email Address,Physical Address,Phone Number,Photos or Videos,Information about how the user Interacts with the App",Strongly Agree,"These types of data are directly tied to making the user experience better by suggesting relevant videos. Collecting highly sensitive information (like contacts, precise GPS location, or biometric data) would not be proportionate for personalization purposes and would go beyond what is necessary.

","App developers will need to reduce the types of data they collect to only what is essential for personalization. They might need to stop collecting unrelated or excessive personal data, adjust privacy policies to be more transparent, and offer users more specific choices about what data is collected. They may also need to design systems that limit background data collection that isn’t necessary for improving recommendations.

",New York,New York,25-34,Woman,,No,Black or African American,,"Graduate or professional degree (e.g., Masters, PhD, M.D, MBA)",,67e9e3e042ade34a31b534a1,67fecb3ede31a76593440504,680279d91eceb7f3108d86f9,Substantive,to provide or maintain a specific product or service requested by the consumer.,photo and video,YouTube
257,4/18/25 9:19,"User ID,Name,Email Address,Phone Number,Payment Info,Emails or Text Messages","User ID,Name,Precise Location","User ID,Name,Email Address,Physical Address,Phone Number,Payment Info,Emails or Text Messages",Name,Agree,I don't think companies need that much information.,I don't know.,PA,,45-59,Woman,,No,White,,"High school degree or equivalent (e.g., GED)",,56169e435c62cf000f822c76,67fecb3ede31a76593440504,68027a6e58590cc468535517,Substantive,to provide or maintain a specific product or service requested by the consumer.,finance,Venmo
295,4/18/25 9:19,"Name,Email Address,Precise Location,Payment Info,Photos or Videos,Emails or Text Messages","User ID,Information that uniquely Identifies your Device,Name,Physical Address,Phone Number,Contacts","User ID,Email Address,Phone Number,Contacts,Photos or Videos,Customer Support","Name,Email Address,Phone Number,Precise Location,Payment Info,In-App Search History",Agree,"I believe this regulation protects user privacy while still allowing apps to function effectively. It ensures that companies are collecting only what is necessary, which can reduce misuse of data and build trust with users","App developers may need to audit their current data collection practices, remove unnecessary data fields, and adjust backend systems to only collect and store data essential to the app’s core functions (like sending or requesting payments). They may also need to update their privacy policies and obtain more explicit user consent for any data that isn’t obviously required for expected services.",Washington,"Alabama,Arkansas,Minnesota,New Mexico,North Carolina",45-59,Woman,,No,Black or African American,,"Graduate or professional degree (e.g., Masters, PhD, M.D, MBA)",,67ed159e0e587fe1da7c95b2,67fecb3ede31a76593440504,68027a4dc2f69d32e76d0573,California,to a purpose that consumers would reasonably expect.,finance,Venmo
326,4/18/25 9:19,"User ID,Information that uniquely Identifies your Device,Email Address,Audio Data,Customer Support,Emails or Text Messages,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing","User ID,Information that uniquely Identifies your Device,Email Address,Coarse Location,Payment Info,Purchase History,In-App Search History,Web Browsing History,Photos or Videos,Gameplay Content,Customer Support,Emails or Text Messages,Information about how the user Interacts with the App,Crash Data,Information about how the App is Performing,Fitness","User ID,Information that uniquely Identifies your Device,In-App Search History,Photos or Videos,Gameplay Content,Customer Support,Information about how the App is Performing","User ID,Information that uniquely Identifies your Device,Name,Email Address,Physical Address,Phone Number,Precise Location,Purchase History,In-App Search History,Audio Data,Customer Support,Emails or Text Messages,Information about how the user Interacts with the App,Information about the Advertisements the user has seen,Information about how the App is Performing",Strongly Agree,"I do not wish those that do not need my data, to be able to view it.  That is invasion of privacy, something GOOGLE does 24/7/365",Stop building their data bases with personal information.  It's a simple matter of rewriting code ,New Jersey,,60-74,Man,,No,White,,"Graduate or professional degree (e.g., Masters, PhD, M.D, MBA)",,66d62734985c822b67585824,67fecb3ede31a76593440504,68027a3d2f65e451ed39744e,California,to a purpose that consumers would reasonably expect.,photo and video,YouTube
